score,count
0,21
1,0
2,0
3,10
4,19
5,14
6,35
7,29
8,35
9,36
10,35
11,24
12,30
13,37
14,34
15,22
16,29
17,37
18,36
19,33
20,42
21,36
22,30
23,34
24,30
25,35
26,23
27,35
28,27
29,34
30,32
31,30
32,26
33,26
34,34
35,44
36,38
37,27
38,33
39,35
40,23
41,26
42,28
43,34
44,31
45,38
46,26
47,31
48,27
49,30
50,37
51,20
52,26
53,23
54,28
55,24
56,34
57,23
58,26
59,31
60,29
61,18
62,19
63,21
64,18
65,23
66,21
67,20
68,21
69,20
70,22
71,17
72,23
73,14
74,29
75,21
76,19
77,13
78,28
79,12
80,22
81,19
82,16
83,12
84,20
85,17
86,20
87,16
88,12
89,21
90,18
91,17
92,13
93,19
94,21
95,19
96,20
97,15
98,15
99,15
100,16
101,16
102,14
103,9
104,8
105,17
106,10
107,17
108,16
109,11
110,8
111,7
112,9
113,9
114,12
115,14
116,9
117,9
118,12
119,21
120,13
121,8
122,13
123,10
124,13
125,8
126,15
127,12
128,5
129,7
130,10
131,14
132,14
133,7
134,13
135,8
136,12
137,13
138,8
139,12
140,10
141,3
142,7
143,8
144,15
145,6
146,6
147,10
148,7
149,3
150,7
151,10
152,7
153,7
154,8
155,9
156,6
157,5
158,6
159,6
160,8
161,3
162,6
163,7
164,9
165,9
166,4
167,5
168,2
169,6
170,8
171,5
172,1
173,4
174,12
175,7
176,6
177,3
178,7
179,7
180,7
181,6
182,1
183,3
184,4
185,1
186,3
187,1
188,4
189,7
190,3
191,3
192,4
193,4
194,5
195,1
196,3
197,3
198,2
199,0
200,4
201,0
202,2
203,0
204,2
205,4
206,2
207,1
208,3
209,1
210,2
211,2
212,2
213,1
214,1
215,3
216,0
217,1
218,1
219,0
220,3
221,3
222,4
223,1
224,2
225,0
226,1
227,0
228,1
229,4
230,1
231,1
232,1
233,1
234,0
235,1
236,2
237,0
238,0
239,1
240,2
241,0
242,1
243,2
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,2
256,1
257,3
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1
