score,count
0,19071
1,0
2,0
3,47084
4,71589
5,75151
6,65520
7,50740
8,37738
9,26632
10,18856
11,13225
12,9201
13,6388
14,4424
15,3191
16,2264
17,1643
18,1152
19,771
20,541
21,408
22,283
23,190
24,127
25,106
26,70
27,62
28,36
29,23
30,18
31,19
32,12
33,11
34,15
35,12
36,10
37,8
38,8
39,4
40,9
41,2
42,9
43,8
44,3
45,6
46,6
47,3
48,4
49,2
50,6
51,8
52,7
53,5
54,6
55,5
56,2
57,4
58,3
59,4
60,3
61,4
62,4
63,3
64,2
65,7
66,1
67,7
68,2
69,2
70,4
71,2
72,4
73,3
74,1
75,2
76,5
77,2
78,2
79,4
80,5
81,2
82,3
83,6
84,2
85,7
86,5
87,4
88,0
89,5
90,2
91,1
92,0
93,3
94,5
95,2
96,0
97,4
98,1
99,5
100,4
101,3
102,4
103,1
104,3
105,1
106,3
107,2
108,2
109,2
110,2
111,0
112,2
113,5
114,0
115,4
116,2
117,3
118,1
119,2
120,1
121,3
122,3
123,2
124,0
125,0
126,3
127,3
128,1
129,1
130,1
131,2
132,0
133,2
134,2
135,2
136,4
137,2
138,3
139,2
140,0
141,2
142,2
143,1
144,2
145,3
146,1
147,2
148,4
149,1
150,1
151,4
152,4
153,0
154,2
155,2
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,2
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,1
