score,caminho_xyt_1,caminho_xyt_2
200,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
197,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
187,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
180,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
171,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
170,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
170,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
169,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
168,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
167,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
164,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
161,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
159,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
157,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
156,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
155,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
155,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
154,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
154,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
152,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
152,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
152,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
152,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
151,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
151,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
151,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
151,out/xyt/FVC2000_DB1_B/102_2.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
150,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
149,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
148,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
148,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
148,out/xyt/FVC2000_DB1_B/102_8.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
148,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
147,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
147,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
146,out/xyt/FVC2000_DB1_B/102_2.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
145,out/xyt/FVC2000_DB1_B/102_5.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
145,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
145,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
144,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
144,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
143,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
142,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
142,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
